DataType,ValuationDate,Cutoff,RunningTimeStamp,Status,AssetName,ExchangeName,AssetTicker,BBG,ISIN,SEDOL,CUSIP,UnderlyingType,Currency,Spot,TenorType,Tenor,ForwardSpot,ExpiryDate,ExpiryDays,StrikeType,StrikePillar,Strike,VolMid
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2024/11/28,,Percent,80,27.6000,51.81
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2024/11/28,,Percent,90,31.0500,45.81
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2024/11/28,,Percent,95,32.7750,46.48
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2024/11/28,,Percent,97.5,33.6375,47.36
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2024/11/28,,Percent,100,34.5000,48.41
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2024/11/28,,Percent,102.5,35.3625,49.56
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2024/11/28,,Percent,105,36.2250,50.79
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2024/11/28,,Percent,110,37.9500,53.52
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2024/11/28,,Percent,120,41.4000,59.66
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2024/12/30,,Percent,80,27.6000,42.65
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2024/12/30,,Percent,90,31.0500,41.16
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2024/12/30,,Percent,95,32.7750,42.02
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2024/12/30,,Percent,97.5,33.6375,42.71
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2024/12/30,,Percent,100,34.5000,43.52
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2024/12/30,,Percent,102.5,35.3625,44.41
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2024/12/30,,Percent,105,36.2250,45.35
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2024/12/30,,Percent,110,37.9500,47.31
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2024/12/30,,Percent,120,41.4000,51.27
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/1/27,,Percent,80,27.6000,40.97
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/1/27,,Percent,90,31.0500,40.11
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/1/27,,Percent,95,32.7750,40.75
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/1/27,,Percent,97.5,33.6375,41.26
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/1/27,,Percent,100,34.5000,41.85
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/1/27,,Percent,102.5,35.3625,42.51
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/1/27,,Percent,105,36.2250,43.22
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/1/27,,Percent,110,37.9500,44.69
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/1/27,,Percent,120,41.4000,47.64
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/2/27,,Percent,80,27.6000,39.92
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/2/27,,Percent,90,31.0500,39.85
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/2/27,,Percent,95,32.7750,40.33
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/2/27,,Percent,97.5,33.6375,40.67
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/2/27,,Percent,100,34.5000,41.04
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/2/27,,Percent,102.5,35.3625,41.45
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/2/27,,Percent,105,36.2250,41.88
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/2/27,,Percent,110,37.9500,42.8
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/2/27,,Percent,120,41.4000,44.67
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/3/28,,Percent,80,27.6000,40.92
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/3/28,,Percent,90,31.0500,40.68
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/3/28,,Percent,95,32.7750,40.86
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/3/28,,Percent,97.5,33.6375,41.02
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/3/28,,Percent,100,34.5000,41.21
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/3/28,,Percent,102.5,35.3625,41.43
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/3/28,,Percent,105,36.2250,41.67
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/3/28,,Percent,110,37.9500,42.24
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/3/28,,Percent,120,41.4000,43.62
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/6/27,,Percent,80,27.6000,38.89
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/6/27,,Percent,90,31.0500,38.84
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/6/27,,Percent,95,32.7750,38.96
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/6/27,,Percent,97.5,33.6375,39.05
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/6/27,,Percent,100,34.5000,39.15
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/6/27,,Percent,102.5,35.3625,39.27
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/6/27,,Percent,105,36.2250,39.4
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/6/27,,Percent,110,37.9500,39.7
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/6/27,,Percent,120,41.4000,40.41
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/9/29,,Percent,80,27.6000,39.35
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/9/29,,Percent,90,31.0500,39.11
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/9/29,,Percent,95,32.7750,39.14
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/9/29,,Percent,97.5,33.6375,39.19
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/9/29,,Percent,100,34.5000,39.26
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/9/29,,Percent,102.5,35.3625,39.34
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/9/29,,Percent,105,36.2250,39.43
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/9/29,,Percent,110,37.9500,39.66
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/9/29,,Percent,120,41.4000,40.23
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/12/31,,Percent,80,27.6000,39.34
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/12/31,,Percent,90,31.0500,39.18
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/12/31,,Percent,95,32.7750,39.21
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/12/31,,Percent,97.5,33.6375,39.26
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/12/31,,Percent,100,34.5000,39.31
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/12/31,,Percent,102.5,35.3625,39.38
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/12/31,,Percent,105,36.2250,39.45
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/12/31,,Percent,110,37.9500,39.64
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2025/12/31,,Percent,120,41.4000,40.1
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2026/12/31,,Percent,80,27.6000,39.33
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2026/12/31,,Percent,90,31.0500,39.31
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2026/12/31,,Percent,95,32.7750,39.35
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2026/12/31,,Percent,97.5,33.6375,39.38
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2026/12/31,,Percent,100,34.5000,39.43
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2026/12/31,,Percent,102.5,35.3625,39.47
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2026/12/31,,Percent,105,36.2250,39.52
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2026/12/31,,Percent,110,37.9500,39.64
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2026/12/31,,Percent,120,41.4000,39.93
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2027/12/31,,Percent,80,27.6000,39.38
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2027/12/31,,Percent,90,31.0500,39.39
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2027/12/31,,Percent,95,32.7750,39.43
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2027/12/31,,Percent,97.5,33.6375,39.46
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2027/12/31,,Percent,100,34.5000,39.49
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2027/12/31,,Percent,102.5,35.3625,39.53
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2027/12/31,,Percent,105,36.2250,39.57
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2027/12/31,,Percent,110,37.9500,39.66
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2027/12/31,,Percent,120,41.4000,39.88
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2028/12/29,,Percent,80,27.6000,39.51
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2028/12/29,,Percent,90,31.0500,39.53
